label,Anatomy,,,Isomap-25,,,Isomap-50,,,Isomap-75,,,Isomap-100,,
86,-57,10,14,-243.4162214,-3509.733756,1112.514937,-533.3031423,-3404.339344,-176.586791,-197.5620925,-3270.073985,-85.90213701,-102.8227276,-3090.888783,620.077632
87,-11,2,24,-708.5315134,-3127.169062,-51.10034884,-605.166766,-2737.024413,487.8592232,-391.7876833,-2617.913036,-735.8868393,-71.46675594,-2242.381516,1130.687818
88,-29,-42,45,3102.124689,1193.477279,3879.009267,2599.962463,-62.35342055,-4087.855862,2469.149661,-59.21590102,3602.360135,2390.00509,-439.2701214,-3621.565748
89,33,-26,-5,-2634.386683,223.8023696,-594.9177322,-2453.416987,147.1634944,567.4351944,-2259.643523,157.2457555,-593.0703417,-2211.928386,163.9657889,459.4452753
90,33,33,38,945.155661,704.6130651,-4333.069588,809.4701719,1652.860173,3616.009143,792.5567612,2000.647392,-3336.749863,773.0998558,2260.463306,2747.881595
91,45,-73,39,-878.6886648,4107.323944,85.89758446,-778.6007057,3618.372502,-686.0821107,-923.9987921,3157.230748,987.9279251,-992.4313435,2967.031537,-1344.535346
92,-23,60,29,4358.543809,-4228.369775,-2223.477415,4177.035945,-2588.535377,3526.12846,4618.783581,-1860.525334,-2815.005078,4491.003398,-1044.969059,3174.558508
93,9,21,2,-2478.272514,-775.7416265,-1504.814548,-2069.360222,-618.1420509,1381.157031,-1826.929579,-554.608922,-1559.971276,-1777.45404,-441.7619903,1659.174751
94,-9,-47,11,-1828.070285,331.1592966,1631.208357,-1829.949928,-91.01482646,-1529.297364,-1880.398692,-250.1974097,1325.866365,-1794.747378,-633.80571,-1319.643521
95,43,-26,63,2472.178341,5253.86348,-1368.254031,2535.203531,4586.221383,-269.255571,1731.792151,4832.445981,749.3962938,1726.471362,4577.350308,-1541.092103
96,-3,63,33,3573.395256,-2399.706533,-2855.231213,2563.133046,-1919.951211,3142.59956,2874.176721,-1662.417334,-2633.775407,2726.434039,-998.1903829,2872.621715
97,33,16,-36,-1856.463681,650.937117,-2014.570793,-1503.007496,791.7991695,1445.269628,-1373.452519,890.1193596,-1041.544823,-1287.035913,1076.686976,911.3226335
98,5,-48,69,2759.332869,3954.28029,1758.378824,2190.256598,3211.897173,-2706.461311,1885.209966,2852.854334,2769.989531,2106.445455,2306.532037,-2859.113694
99,-38,-23,46,4989.499729,-482.4936582,3247.548025,4807.302857,-1188.228896,-2785.919885,3928.091306,-1039.378007,3115.920184,4122.943494,-1012.931553,-2671.480091
100,67,-12,-18,-2588.281545,961.3972369,-1536.527903,-2174.941206,1204.325465,1075.286627,-2038.608612,1078.749524,-926.310208,-2254.987198,1213.447626,758.4649091
101,-6,25,0,-1999.913258,-2260.134601,-589.2387983,-1866.767054,-1764.274687,923.55855,-1529.606559,-1739.608089,-1150.885089,-1454.187987,-1292.942812,1330.428949
102,-36,-79,-8,-1909.954017,30.61505127,2077.366664,-1787.320282,-328.311062,-1854.944732,-1619.588579,-545.0995429,1471.809565,-1618.526504,-612.3580157,-1335.062443
103,-61,-45,7,-644.4377317,-1811.181487,2613.634336,-779.7802017,-2075.795742,-1687.432625,-573.5554271,-1885.078267,1528.670702,-507.2960256,-2090.141304,-1203.64007
104,-51,-5,-36,-181.8891523,-2111.993037,1013.205524,-359.3505754,-1978.835554,203.5161413,-224.2220022,-2019.017746,-57.43424084,57.41444735,-2020.230495,218.0248746
105,60,-63,3,-2582.905817,1417.833244,-909.7023698,-2220.829434,1547.010531,577.5307861,-2091.976842,1661.014834,-666.0902857,-2061.227584,1558.45969,520.0183297
106,25,22,58,3952.125164,1348.188586,-3208.00907,4099.986563,1845.332456,2236.35746,3665.72354,1802.296716,-2077.158255,3340.807955,1973.569557,1763.954035
107,-7,-21,-29,-2432.626335,-469.5156292,627.4967952,-2349.149359,-640.8055359,-335.5482357,-2224.502741,-700.1537483,281.5752559,-2134.522889,-850.8634082,-157.6561363
108,-32,-3,66,5020.984887,-964.327729,2613.371823,4671.131513,-2047.333665,-1996.282922,4385.025613,-1581.937733,2350.7787,4079.961021,-1585.574837,-1970.078067
109,-34,-1,-44,-1604.31208,-2444.924453,847.3199105,-1181.5638,-2624.963652,-108.7816176,-883.8639846,-2429.132113,-202.6083095,-674.3547854,-2384.399675,706.9469628
110,39,0,50,2855.381624,2890.644884,-3290.451437,2774.532273,3370.769343,2074.92776,2784.723052,3506.251703,-1673.508033,2055.863942,3613.245594,1453.702741
111,-30,41,-14,-487.8464517,-3221.334591,103.7147464,-339.8645677,-2897.631416,828.7661956,-201.6035734,-2709.787114,-725.2243839,62.5397579,-2513.746369,1176.697313
112,34,30,4,-1480.587982,390.4959296,-2439.947689,-1350.142397,1158.135529,2093.760628,-1248.58753,1085.113021,-1991.595598,-1267.360086,1432.055773,1946.685813
113,24,-61,3,-2195.146508,718.1374349,827.5678186,-2089.009336,569.5008262,-1135.276331,-2087.196407,295.2944698,1111.634297,-2104.888809,-45.61610921,-1178.010787
114,24,52,-12,-185.1094935,-1381.638604,-3382.640614,112.8317338,-307.3167015,3582.835149,9.116958783,-99.12831356,-3541.279607,133.6921863,437.7734602,3018.955341
115,-5,18,36,3108.084409,178.1317168,957.3464103,2610.819422,237.3029456,-1036.006876,2541.891217,175.9771981,1021.412353,2274.966816,446.4704718,-825.40052
116,-42,-65,3,-1949.077033,-630.1342838,2184.815746,-1704.603031,-865.4754481,-1741.149086,-1535.852751,-1024.581225,1654.89649,-1388.207334,-1062.042958,-1362.802339
117,18,-81,42,-883.7676949,3544.047342,1783.222654,-429.6504475,2766.491619,-2520.67237,-721.4262997,2254.410171,2629.032024,-759.74095,1581.499127,-3010.490306
118,-6,-81,19,-897.6248825,2075.777795,2809.50459,-748.9633306,1041.525545,-2994.914591,-898.3760845,592.0314495,2670.778354,-1030.104698,149.51056,-2660.929172
119,-54,-51,39,3771.44279,561.7646071,4268.96754,3355.729776,-686.0048389,-3792.310922,3063.864848,-645.0136196,3794.971311,3047.438457,-951.8484026,-3694.20249
120,-44,28,30,1169.005681,-4087.956844,389.931494,1075.902622,-3572.473989,613.0129281,1176.587398,-3230.806998,-913.2297571,1182.597307,-2698.825243,1541.776455
121,10,25,-11,-2456.339293,-939.6405014,-1621.889111,-2154.191987,-263.1251077,1650.999842,-2088.626734,-187.4993459,-1705.063583,-2028.788642,-126.8024058,1580.193097
122,63,-48,-12,-2474.116274,1146.590095,-1182.043231,-2043.086959,1155.622328,908.9384668,-2040.489418,1230.47593,-709.9773092,-1966.517619,1245.383073,348.7056343
123,-26,-42,69,2799.757245,2197.965316,3711.598071,1623.137089,815.1721741,-3899.722529,1415.641815,758.9944173,3804.763224,1630.715009,244.8484187,-3990.723785
124,30,-1,13,-2225.734976,423.6831808,-2377.977367,-1884.368648,1043.721683,2091.542869,-1587.066427,986.8237527,-1793.216427,-1640.614608,1216.979558,1512.365539
125,-16,-3,66,3391.624546,54.56523123,1531.486465,2640.218637,238.3029816,-1097.373749,2426.758238,365.2706511,1293.320775,2305.741947,-171.9936562,-1317.454579
126,16,-32,51,3446.123598,2027.293111,1096.684091,3031.400936,1841.947794,-1828.904847,2735.495825,1697.571215,1529.242945,2407.760169,1242.427391,-1712.133569
127,27,63,15,3794.179555,-1857.970473,-5825.677876,3965.684982,-180.5852749,4604.651799,4058.492923,103.887047,-4201.383693,4110.532804,1508.265354,4227.756097
128,-39,-4,-9,-2022.878714,-2066.144625,1421.871582,-1986.993504,-2209.933182,-335.0933861,-1698.639769,-2226.609962,391.6528296,-1632.859475,-2157.580833,16.88963494
129,47,-81,10,-1462.783209,1564.215109,-598.0493521,-1688.043827,1896.892495,644.4889705,-1466.320202,1754.09624,-82.36117872,-1408.953893,1563.634137,37.18707868
130,-45,-13,14,431.7962878,-3662.0248,1784.567597,288.5868458,-3367.598325,-576.9095419,521.476692,-3298.044035,383.1481695,523.4405725,-3069.799451,253.8190533
131,10,-18,-15,-2500.788189,-430.0526984,230.4108569,-2399.676333,-297.5105628,-135.8246261,-2346.366219,-411.2106163,-39.50811746,-2320.583969,-512.3068624,23.40655128
132,-7,22,11,-988.8133269,-2420.103302,-610.8938843,-892.2849197,-2089.138636,1093.378956,-651.6813162,-1900.911349,-1222.426427,-344.8979885,-1880.842208,1590.891
133,-24,-63,-8,-2299.048186,-189.0951282,1477.540244,-2136.725771,-532.5746287,-1398.0958,-2091.383735,-682.3083691,1116.812494,-2010.871307,-993.0168632,-897.1667935
134,51,-25,18,86.85040878,3153.105424,-3043.073221,-58.21927915,3436.847407,2213.211331,17.48298638,3055.169722,-1968.240065,-181.0409102,3329.41608,1452.626669
135,-27,-69,53,2126.777654,1981.681628,3531.360928,1387.958765,960.4780771,-3999.327886,1206.286752,696.1137919,3931.175952,1267.497197,350.0337119,-3665.021402
136,51,-20,-20,-2951.614408,954.3967164,-1160.255209,-2729.615169,940.5687768,900.2218854,-2649.647609,850.8540726,-992.97703,-2636.281645,944.9397864,772.5589101
137,61,6,-3,-2532.453059,1348.889486,-1654.113457,-2277.447272,1441.336919,1340.549257,-2103.397948,1370.224715,-1115.879067,-2145.607642,1492.483536,850.1526354
138,-17,43,42,3413.835629,-2730.668763,-2218.61334,3132.565013,-2264.508906,2345.991671,2805.247844,-2039.424434,-2172.83478,2685.458494,-1577.728258,2587.540046
139,22,-87,-6,-2508.789214,1161.112947,1077.846614,-2204.578413,873.775312,-1252.880034,-2170.337419,535.0266125,1116.808158,-2126.332603,286.4206687,-1137.440754
140,-28,-42,-31,-2386.572161,-695.3711527,1470.182162,-2193.341572,-967.8267325,-957.0868764,-2045.319597,-1023.122517,774.1522055,-1958.73922,-1137.396336,-605.5666747
141,14,-46,39,-230.6571465,2405.385893,2623.146198,97.44496392,1737.697391,-2234.284821,-248.1656187,1146.199195,2171.64909,-384.2387214,770.5312771,-2514.082523
142,-48,32,23,973.1790019,-3814.755245,-273.2620125,1147.150631,-3393.237385,770.165387,1063.453557,-3144.522636,-1064.493344,1140.122544,-2758.341116,1221.087118
143,11,34,35,4656.954949,-640.3744327,-2506.645882,3868.75583,-409.7403549,2040.565282,3919.626518,-141.3364414,-1809.479803,3260.439568,345.2446626,1814.14755
144,-63,-28,0,-1272.130463,-2379.342085,1544.677848,-904.2144465,-2837.15511,-758.1747626,-818.7268807,-2183.721065,634.1778277,-670.3230969,-2214.402239,-275.6906552
145,15,-2,20,-2190.78829,-354.1230981,-2133.622748,-1973.928595,501.4721008,2162.638323,-1737.527704,414.6027351,-1965.380703,-1664.019975,604.9383563,1619.356651
146,12,56,7,736.8932997,-2570.561447,-2899.812988,700.5039712,-1517.438782,3376.08895,876.8545793,-1607.271652,-3233.887608,898.3403762,-1009.057335,3136.466501
147,-53,-21,31,3602.973171,-2484.728023,2731.661036,2743.511882,-3008.820872,-1826.181343,2494.848789,-3002.498589,2034.90683,2577.95326,-2949.881794,-1344.97252
148,-36,-2,-29,-2085.733804,-1948.71063,1223.825829,-1956.26414,-2197.19424,-191.1259928,-1695.683957,-2386.324776,202.6577531,-1695.562502,-2225.78996,-7.566266177
149,60,0,40,2968.481646,3013.271814,-3255.771555,2713.546413,3627.545136,2368.146758,2564.718953,3398.618584,-2055.583432,2098.638042,3674.499567,1374.386188
150,54,-33,3,-2116.284771,1793.080137,-1949.315674,-1813.514457,2148.342107,1356.442271,-1695.210531,1929.516067,-1204.391804,-1697.989384,2098.396217,812.1616384
151,26,-6,-41,-343.3260884,774.8336022,-1661.632763,-508.1449232,1430.720835,1566.042713,-196.6180298,1042.947306,-1392.622504,139.5481962,1297.169587,738.7014823
152,55,36,10,-680.4430251,760.4544829,-3451.207729,-843.4470558,1604.037036,3173.190285,-527.8102381,1485.168174,-2988.782418,-467.2164609,1919.278527,2294.276736
153,9,-29,61,3570.834907,2413.890939,1234.141924,3325.260326,1602.52727,-1530.453302,3278.763393,1531.149436,1347.113293,2870.785609,1411.789474,-1764.250317
154,-39,-65,18,-541.3278501,-754.7667076,3268.455466,-786.0955345,-1162.02548,-2641.731819,-832.9182717,-1264.935636,2417.852304,-699.0073176,-1700.371018,-2154.700166
155,-44,-45,18,-1391.723661,-1117.108308,3441.609969,-922.6128574,-1638.511483,-2423.524902,-1028.41449,-1618.943683,2328.360304,-723.6624188,-1904.315431,-1957.435998
156,-1,-73,6,-2203.725375,625.2948236,1985.374861,-1949.54527,105.5909329,-1751.071316,-1954.403674,-29.2145686,1733.489246,-1918.183918,-394.7615313,-1659.677271
157,-12,-17,13,-1949.678298,-917.668078,558.8681553,-1653.253493,-815.0495708,-183.0272892,-1605.160148,-866.3323219,199.1488351,-1518.17144,-928.6045688,-147.2653796
