label,Anatomy,,,Isomap-25,,,Isomap-50,,,Isomap-75,,,Isomap-100,,,Q
32,-2,41,8,-2.39081064,-25.80243767,-39.39538831,-3.085880248,-28.45826764,-36.45359468,3.913979417,-28.13971352,-28.10193518,-1.679334419,-21.41170945,-30.54737012,8
33,63,-54,15,-21.92204679,39.22520286,-12.35762596,-17.05582434,27.94897806,-10.288901,-14.48319983,30.93303224,-9.150296565,-17.45257759,30.65976463,-4.108925932,5
34,31,-9,70,41.37825308,67.28196338,0.877928136,44.96696353,57.12246323,2.915747894,47.06462449,51.80738458,3.951207787,43.44887921,49.90334406,14.33650703,17
35,17,-97,8,-33.34729231,15.39258519,17.67851106,-27.14745014,13.65930709,16.02513647,-25.5904756,10.81576595,14.63463931,-24.74200603,8.472507881,14.01958153,3
36,-48,34,-2,-2.693629716,-49.63830252,-6.243491431,0.068533123,-43.08983315,-4.575081178,-0.541566079,-37.23330478,-7.018053176,2.892752179,-37.34635489,-10.02187998,13
37,9,44,54,63.34790615,-4.338977201,-36.06454154,61.43339239,-0.543316331,-33.40785896,55.24464221,1.892446319,-28.15275143,53.3212043,2.555641936,-24.13973563,8
38,41,-8,-40,-32.31911097,14.43019823,-20.39108688,-28.59753117,14.38969116,-17.03925155,-23.41208097,10.73983146,-15.77492039,-22.68711661,12.96073655,-11.9731126,10
39,-36,-9,6,-12.17025636,-43.78993601,0.862686756,-12.64333656,-41.81262744,3.531916209,-9.067684939,-38.45275323,-1.854417068,-8.587704789,-36.98786227,-6.670824021,13
40,-15,-57,68,24.87853072,22.670613,54.81958525,26.0573232,22.58040071,51.26118443,25.26616371,23.93701598,45.28600742,18.76809576,13.90735848,46.61924246,16
41,-6,-1,75,44.52306091,7.489115535,17.31722582,38.30490463,5.806589264,18.10930424,35.08808649,5.334285659,18.71856532,32.34774979,1.210902629,20.67743115,7
42,-3,-20,-38,-34.40381655,-6.041681838,5.717739832,-31.7002499,-5.576157293,4.402526469,-30.08355187,-6.545700599,5.128797949,-29.53550349,-7.691956686,3.090028103,4
