label,anatomy,,,isomap,,,MDS,,,tsne,,,PLACE,Q
54,160.24,110.97,44.347,0.95682389,0.46280059,-0.10514731,-0.6600269,0.636168648,-0.070905409,9.223384568,22.01351448,-13.75486403,9,1
58,180.81,128.03,64.432,0.78129017,1.2409102,0.18742153,-0.802468637,0.386789476,0.514290779,22.95791654,7.799401273,0.888056298,10,9
1001,106.75,212.58,66.424,-3.0150747,-0.37573469,0.51273525,1.211939358,-1.693100991,0.208513198,-24.81959237,6.664897243,32.65887541,8,2
1001,106.77,201.58,61.521,-2.9567492,-0.755548,0.14689614,1.124694109,-1.702788637,-0.083280579,-23.90328309,4.818769933,31.69533402,8,2
1001,92.307,208.54,60.736,-2.60342,-0.96336389,-0.13527825,0.990473678,-1.380257199,-0.26630917,-22.1011952,2.935318641,28.16810558,8,2
1001,95.401,198.94,64.437,-2.3806875,-0.84844595,-0.52510011,0.628341829,-1.359166943,-0.439611236,-21.11778171,0.627301215,25.88785919,8,2
1002,175.41,148.49,99.058,-0.25903234,0.90822184,-0.77069777,-1.032684211,-0.336460102,0.093619049,11.10714171,-19.50596573,8.528701894,1,8
1002,198.66,147.71,95.506,-0.44754237,1.3003002,0.88691866,-0.133437804,-0.376677977,0.835192435,12.74523497,-2.808014769,24.96969746,1,8
1002,190.67,147.7,95.724,-0.27151176,1.0587837,-0.19046056,-0.62669718,-0.300191791,0.432863297,13.30652164,-15.57994899,13.91836833,1,8
1003,184.64,191.93,112.07,-1.37319,1.4106394,0.069691077,-0.29233715,-0.837601091,0.649512003,7.962009287,-9.798570319,24.94499288,3,4
1003,177.92,187.64,112.66,-1.1640518,1.2572598,-0.46100354,-0.705855339,-0.883757115,0.368539495,2.4245736,-14.71042878,19.43722698,3,4
1003,190.19,179.61,117.39,-0.96346349,1.3957,-0.18700209,-0.641757686,-0.728085727,0.606018624,8.45702137,-11.46355047,22.25107933,3,4
1003,180.11,178.38,115.18,-0.86406922,1.3155051,-0.53182054,-0.867348213,-0.727152502,0.436259088,4.215498349,-15.55203991,18.17100901,3,4
1003,171.71,186.7,114.5,-0.95291299,1.1286894,-0.57895416,-0.850522374,-0.80129374,0.208061007,2.261048611,-16.17709764,17.49895307,3,4
1003,165.07,190.9,115.45,-1.0806497,0.94370914,-0.66109067,-0.797086839,-0.75342212,0.049260445,0.686277174,-16.13785264,16.85767661,3,4
1003,170.46,177.63,114.91,-0.69805539,1.1380407,-0.77564359,-1.127796644,-0.651261603,0.109484171,3.380518724,-18.435454,14.13406136,3,4
1003,159.53,183.29,110.21,-0.76158917,0.98663694,-0.91668135,-1.136172953,-0.631590888,-0.058796398,1.944997001,-19.10764383,12.61010557,3,4
1005,66.638,161.26,65.546,-0.48492804,-1.0933331,-0.75050831,0.145304921,-0.312529724,-0.884281426,-19.13123529,2.141050411,-9.627620891,13,5
1005,56.783,155.1,68.248,-0.30350485,-1.7105453,-0.54691499,0.517898868,-0.215231308,-0.867424156,-20.88184214,6.22914,-9.600072673,13,5
1005,53.034,148.27,60.265,-0.043730345,-1.6138308,-0.70682019,0.305108845,0.000732081,-0.934611245,-19.51279353,5.515961019,-12.28501596,13,5
1005,48.522,147.79,52.743,0.10489283,-1.6163642,-0.79173446,0.245900636,0.13536343,-0.952183904,-19.40894593,5.746161793,-14.5563633,13,5
1006,163.17,174.12,29.124,-1.1380973,0.21457052,0.26722518,-0.24945876,-0.726115556,-0.094751152,-3.806640182,7.74311884,37.41302189,7,2
1006,151.06,174.97,33.955,-1.0942723,-0.20885131,0.54101241,0.20324275,-0.610486999,-0.129914891,-5.510021085,9.488877164,37.04227724,7,2
1007,166.02,182.8,29.093,-1.3540658,-0.1106047,0.57560778,0.208997231,-0.812912229,-0.112285859,-7.455464446,9.859218213,37.09964815,14,2
1007,146.29,187.4,39.848,-1.2201192,-0.17574133,0.36347663,0.096240105,-0.723194969,-0.259823013,-6.207157229,7.912525513,36.40160407,14,2
1007,129.09,182.84,42.313,-1.5813011,-0.58415645,0.86422986,0.755145738,-0.72522323,-0.209028484,-11.49961396,11.4399142,35.84368078,14,2
1007,122.79,188.14,41.754,-1.9098303,-1.136601,1.1275883,1.225950297,-0.832109813,-0.184546202,-16.72492853,12.82119462,34.22442853,14,2
1007,115.2,189.83,40.188,-2.2340961,-1.7471294,1.3835325,1.723807081,-1.006627532,-0.214392202,-20.89412012,13.39422047,31.45054647,14,2
1007,116.72,176.97,45.075,-1.9695072,-2.0865743,1.514292,1.912432952,-0.747247436,-0.224419155,-21.9302034,13.74527892,28.90589116,14,2
1007,106.72,194.75,39.365,-2.4849389,-2.5933497,1.3619709,2.3639473,-1.099510043,-0.342752774,-24.69464118,13.96793294,28.54788819,14,2
1007,97.968,192.13,38.677,-2.3249474,-2.9666319,0.97446644,2.37969676,-1.014243239,-0.636612033,-25.81969289,12.80004812,26.21612947,14,2
1007,107.37,178.61,45.957,-2.0298433,-2.8056612,1.494527,2.334149454,-0.799578146,-0.512296208,-23.9533874,13.78118755,25.82403541,14,2
1007,99.31,175.83,46.315,-1.6302967,-3.1109216,0.94412732,2.290924052,-0.579365444,-0.705059454,-24.78550866,13.55576779,22.94294032,14,2
1007,90.356,179.73,42.73,-2.1316984,-3.1913297,0.88663602,2.41844027,-0.846316145,-0.742386388,-25.92831098,13.60233172,23.91422054,14,2
1007,81.956,182.89,38.409,-2.0395455,-3.271251,0.5995506,2.344359671,-0.742025324,-0.693072389,-25.52695256,11.7217186,23.40858884,14,2
