label,anatomy,,,Isomap,,,PACE
75,37.05,-12.25,-26.46,-310343.7723,-316430.0297,71512.59371,6
76,-58.51,-7.82,25.49,-685152.2717,1641632.346,146024.5182,16
77,7.83,-73.81,5.75,458456.6625,-659108.0752,-776717.981,9
78,-17.5,-15.59,69.64,-1212929.902,-889288.9672,-940228.9383,16
79,0.15,52.25,25.87,680488.7832,774333.6871,186313.1556,7
80,-19.22,-6.49,-16.29,1122375.337,520858.0484,-486892.0768,6
81,40.19,-42.52,48.35,-716477.4427,1503798.534,-465416.7805,15
82,13.09,-0.61,16.61,-974020.9862,-716846.9991,-937855.426,2
83,-26.76,12.19,55.61,-1392109.039,-294646.3753,149724.5745,3
84,-29.73,-35.68,61.86,662006.4303,-52122.76857,817785.4067,16
85,-34.08,-80.96,25.65,593483.0001,-189455.5416,654728.6183,12
86,59.33,-0.86,25.57,179000.5682,-226440.8918,-714013.3537,16
87,-58.57,-48.33,-8.62,-882209.8224,1468379.543,-124754.6573,3
88,47.44,-52.32,-17.09,-486283.903,1419081.219,173648.4624,12
89,-51.82,-2.97,-28.73,544500.5305,103386.8234,80948.01429,5
90,35.34,-86.19,9.21,-1022737.945,-442208.927,386845.8874,10
91,-9.81,62.45,13.92,-1478941.966,-574420.7628,179408.5553,7
92,17.3,-54.98,2.86,-758674.8477,-201660.44,-18085.99176,9
93,27.82,34.94,41.33,910809.5438,43543.72238,-543731.5366,8
94,54.47,-27.96,-0.6,-1064630.01,221838.7,-702542.1528,14
95,-6.95,-92.63,1.44,292120.5105,-814483.9583,-897537.2353,10
96,1.6,56.71,-7.6,-1355914.456,474524.1799,557040.1606,7
97,30.29,6.83,-19.38,1097882.668,-126613.0474,826124.702,5
98,1.85,-23.29,67.76,-1124730.42,-1744053.352,302224.2028,16
99,-29.19,12.7,-17.19,1320497.912,-22932.85943,368184.5383,5
100,42.45,49.81,-5.01,1090530.932,-282053.1915,-451563.9444,4
101,-26.25,-73.57,40.43,1270247.093,509977.7103,555840.481,11
102,44,1.6,49.08,1352063.616,165555.7788,-320623.6078,15
103,-56.66,-28.38,36.42,1100568.096,-368232.4579,-1198025.797,15
104,-56.95,-48.18,8.7,-1270244.089,-524665.9923,27263.4058,14
105,55.25,5.5,5.25,-655847.6025,10379.73959,-521364.7672,13
106,-40.18,-12.77,12.41,1011955.941,-772671.0592,80162.46281,14
107,-28.12,-37.32,-11.88,-1129.656004,383472.682,556854.5497,6
108,0.66,-14.53,51.09,347410.3863,1237504.944,-494646.4698,16
109,28,44.18,-14.18,602498.7462,493676.9227,904388.1791,4
110,-30.87,38.64,33.27,736650.763,-138936.6021,-336873.5767,1
111,30.17,18.17,52.04,-1029421.624,792218.563,-369184.4879,4
112,60.88,-30.63,25.75,-1275445.395,-465053.1437,408081.1985,13
113,-44.89,-0.12,-14.83,-476728.1971,-12726.44467,37667.62817,14
114,-26,-92.41,11.49,865409.2006,-711372.6677,707070.9048,10
115,29.24,-67.33,46.71,-1416838.917,87579.69567,-102988.4273,11
116,-9.46,47.2,39.53,681804.2657,781686.6935,133310.0116,7
117,23.85,-12.88,67.12,-315199.8817,1599378.02,426776.8429,16
118,14.82,14.69,6.75,-683550.3113,-1672943.98,-555954.8774,2
119,-14.85,-65.74,55.41,897146.9393,-121044.1965,181110.5842,11
120,40.24,-10.52,-4.68,929291.159,12108.06258,-779086.7521,14
121,21.65,-68.96,-11.87,1041697.076,-825256.2278,33340.24957,10
122,10.21,63.16,9.68,-1258998.112,-718624.1318,120217.3334,7
123,54.5,-2.8,-26.2,-471830.5704,-1080011.653,1151595.505,5
124,-49.85,23.54,8.77,-1262757.85,-618414.8806,64232.78507,3
125,17.15,-89.05,21.65,972681.8838,-490148.924,-654574.3267,10
126,52.94,-61.12,0.97,-475536.4899,-1101162.737,1157635.142,12
127,51.36,28.85,4.59,-385687.0357,-672752.3896,371322.2979,1
128,-31.95,-20.69,-18.83,338644.15,-708930.6016,-981323.9509,6
129,-56.93,-10.21,4.82,1255735.154,-265864.1016,-442090.7465,14
130,-8.23,-74.53,40.45,1344472.504,39434.65278,214241.2113,8
131,1.16,-4.05,4.53,-234469.1309,-1414591.617,1089503.041,2
132,-0.26,31.6,44.84,802955.8933,281214.2477,666799.7362,3
133,-46.81,-71.48,11.57,663105.824,751183.8227,176671.8129,12
134,-44.78,27.17,25.76,-505552.261,1407427.726,120613.7079,3
135,57.89,-7.12,-8.53,1157547.85,-742442.73,-664229.5438,14
136,-51.75,-13.68,39.85,705322.0487,639941.6794,-146447.8386,16
137,21,-11.56,-16.78,655519.5258,622247.982,-195457.0933,6
138,-34.55,-53.05,49.17,542959.7621,534862.1125,1412.23286,11
139,53.45,-11.15,38.81,-179958.0128,1415668.854,-273752.0128,16
140,-21.5,-91.46,-12.71,1278692.969,-1189091.378,1540709.257,10
141,-36.43,-77.53,-15.4,1411128.081,315395.4995,113091.1109,10
142,-0.41,21.04,-8.64,-971352.6876,557006.5623,-318478.002,6
143,10.43,1.66,65.84,-770705.51,-1539293.543,-604187.018,16
144,9.86,-63.04,55.79,-794831.8747,798381.9934,837317.2044,11
145,51.47,21.25,20.57,-17523.16382,-440875.6633,77693.23424,4
146,-54.16,7.63,17.26,-1342386.441,-770302.3434,-14389.20726,13
