label,anatomy,,,Isomap,,,PACE
1,-40.29,-84.75,1.1,-595560.4126,-4110.274721,-29496.02347,15
2,-50.15,-60.33,22.8,452569.2013,96770.80899,-241941.252,2
3,13.13,-64.03,23.86,287227.8063,36733.10241,-99747.56601,1
4,-37.42,-13.33,-2.92,-695547.4447,164936.2843,-109285.9322,12
5,-6.92,46.11,7.1,-356227.0143,-939045.2734,630012.7375,2
6,8.64,-35.93,46.93,-541910.9333,295712.4457,86304.65833,10
7,55.03,-47.23,40.93,727522.1191,440964.4938,216001.1678,7
8,-40.91,-20.48,53.66,498743.0949,89610.0541,-242421.5735,11
9,-58.61,-29.58,-3.23,282267.233,67661.79961,-125098.6889,3
10,27.14,59.37,-2.11,266024.1164,-630501.489,-404741.969,7
11,2.6,12.6,48.94,-497898.3143,616166.1849,161915.4496,10
12,52.81,-54.83,23.02,-713408.4664,354227.1632,-220054.5571,1
13,13.06,13.11,-7.11,215076.1483,-489016.9152,-535003.0307,6
14,-49.28,-65.06,-5.1,-441643.195,201925.7621,553400.5422,13
15,45.7,9.54,31.31,343471.106,170995.3006,-51347.08225,9
16,11.25,-19.86,8.52,-845347.2329,399621.1373,-444096.1415,6
17,-10.02,-66.5,22.09,1076496.969,505747.4109,-255142.6127,1
18,-33.71,19.96,2.02,602138.5142,106548.7782,-169399.3867,10
19,-9.3,-37.78,68.48,511024.3998,73580.33217,-190155.1305,11
20,6.79,43.31,5.33,-464791.6664,426138.2962,-202525.771,2
21,-42.29,42.02,13.08,1004662.054,146956.8125,460609.1055,9
22,-59.11,-26.68,15.62,-665672.7577,225909.0495,-170331.5404,12
23,44.33,41.41,14.82,-542691.4768,-150307.7534,-325169.878,9
24,43.05,-73.44,-11.09,871282.0784,-1423819.873,140775.694,15
25,-30.67,-4.67,-32.67,-674455.5176,459226.5688,-172748.5892,3
26,29.39,-32.98,62.78,-833255.4611,-217816.5805,-329551.6094,11
27,0.65,-16.29,34.47,-635801.5383,1859.948725,-59119.57746,2
28,29.14,-54.33,59.16,-823223.2621,379678.3965,-373884.2818,14
29,42.95,10.28,-37.05,607604.5611,67484.46867,-163966.6241,3
30,-57.4,-43.13,26.02,166801.3703,-45185.08753,547434.4736,10
31,-45.66,8.55,31.4,1252028.756,369991.1749,-278016.1862,9
32,40.4,-4.66,10.37,-552597.3245,191847.3408,-457712.0792,12
33,-13.79,-31.72,0.41,-510233.7673,-1448842.476,-567218.1252,4
34,42.04,24.37,37.39,947130.4066,-38706.39731,-41076.96495,7
35,62.02,-41.89,-8.48,-520265.8393,-1391100.342,-649600.1734,7
36,1.72,33.66,23.94,-69557.29448,537311.0959,409171.2602,5
37,-28.78,50.44,-12.98,-161454.6982,86970.0048,205959.9448,7
38,13.27,-94.02,1.76,-706824.522,289356.2291,-249956.337,15
39,-8.71,-17.67,9.86,-245332.8361,187806.3466,246571.5097,6
40,1.66,-38.17,31.7,71810.42578,-24758.64068,370888.3043,1
41,-14.57,13.22,-3.47,-300750.6371,131497.8958,370605.1924,6
42,18.36,-33.89,-2.19,158852.46,-374627.7464,-109253.9069,4
43,61.26,-20.23,-16.23,433985.0959,107838.9758,-227438.4008,2
44,-28.71,-6.18,57.29,207606.5102,274173.1593,398052.5802,9
45,44.42,30.37,-10.37,1442847.338,-122103.2249,-744662.7138,5
46,-6.1,-86.69,24.56,118148.1898,366030.7002,466424.118,16
47,0.51,17.03,32.16,-591011.2385,123302.1294,-96401.29948,10
48,-52.29,-50.05,41.71,414233.2649,269464.4261,-145180.0194,8
49,-28.44,32,-15.56,-179663.1553,-92719.28575,814300.3743,5
