label,anatomy,,,Isomap,,,PACE
50,1.2,-52.23,14.72,-760220.8337,308425.2788,-319438.0225,1
51,36.07,18.09,3.12,-102193.9274,-110671.4136,279561.6274,10
52,42.73,-19.48,53.2,-145363.9488,-95718.3966,800233.3398,11
53,-39.36,21.01,41.71,415138.6335,168470.2393,-43849.2289,8
54,33.29,-30.79,-16.75,441920.8603,93806.82701,-215170.5954,4
55,-43.92,-52.08,-19.28,1000883.325,-1310866.206,253011.1568,13
56,28.25,-0.34,56.21,289520.1027,141169.912,-140822.0221,9
57,12.34,-44.19,67.43,-876988.8723,-40848.07683,-527925.0325,11
58,61.12,-16.75,11.97,-377381.5083,-306355.0754,-324894.3698,12
59,-28.08,1.33,3.11,-666286.3086,389654.3996,-192673.2811,10
60,59.31,-43.62,10.28,358567.7003,-489659.6728,-486333.5942,12
61,-11.79,-70.02,5.81,-77974.30003,5922.794244,80410.16096,16
62,29.21,25.03,-15.45,387803.0308,187031.313,-79899.23453,5
63,-57.15,-14.6,-16,122584.3468,249510.4943,460066.627,3
64,-43.32,1.48,47.52,-768209.9394,361770.5209,-319892.9835,8
65,-44.77,33.4,-8.63,-777963.7189,380763.3847,-234623.0149,8
66,31.04,55.25,14.24,648738.9562,15854.55487,-7201.420874,5
67,-8.43,-32.98,45.06,-518406.9791,-1409577.595,-662787.7873,11
68,-41.5,13.56,-28.19,-354156.911,-1050072.107,663891.699,3
69,0.16,0.33,41.51,785.418074,150459.8445,516580.1878,11
70,13.42,-77.19,38.55,210524.0859,388411.9057,447563.0017,14
71,-43.02,-66.47,39.74,-390407.6819,-1016426.003,689460.9968,1
72,46.8,7.96,-10.09,-121546.2707,-59202.16498,765765.89,10
73,-13.09,6,13.55,-56896.00335,-246419.9015,787896.2498,6
74,46.34,-72.94,15.42,144418.4502,217617.9088,243698.9595,13
75,37.05,-12.25,-26.46,-618015.8226,319343.128,-244658.5326,4
76,-58.51,-7.82,25.49,-142933.6382,-84198.24836,805722.5547,12
77,7.83,-73.81,5.75,-686168.1954,342582.6961,-205426.2415,16
78,-17.5,-15.59,69.64,-141415.4789,-356699.3509,636714.7883,11
79,0.15,52.25,25.87,-533955.2494,251517.8692,100815.034,2
80,-19.22,-6.49,-16.29,945717.3402,564364.9795,-55394.97211,4
81,40.19,-42.52,48.35,273432.0765,-144602.0857,409963.8924,9
82,13.09,-0.61,16.61,-631420.5405,243603.8141,-351486.3014,6
83,-26.76,12.19,55.61,306135.6834,162371.2875,-204152.1391,8
84,-29.73,-35.68,61.86,-291233.6227,-178912.5882,732939.8543,11
85,-34.08,-80.96,25.65,-174833.0813,-78485.42528,811969.889,13
86,59.33,-0.86,25.57,1170511.202,-42196.17296,-644025.5867,12
87,-58.57,-48.33,-8.62,-495570.7119,-1304529.394,-575465.5279,8
88,47.44,-52.32,-17.09,-796923.7451,-275751.0061,-331925.5264,13
89,-51.82,-2.97,-28.73,578848.0009,-156752.5559,-314764.7198,3
90,35.34,-86.19,9.21,-479880.8544,244113.6645,217750.1421,15
91,-9.81,62.45,13.92,201226.3959,129730.4773,49604.1694,2
92,17.3,-54.98,2.86,976207.3778,-276830.7341,193218.0837,16
93,27.82,34.94,41.33,-574124.2858,361724.1092,-217340.0453,1
94,54.47,-27.96,-0.6,601709.9119,421195.8503,-17334.98452,3
95,-6.95,-92.63,1.44,-650754.3106,351110.3381,-219418.6214,16
96,1.6,56.71,-7.6,341067.4823,181563.5433,-209757.3621,2
97,30.29,6.83,-19.38,-737439.1403,283021.9542,-290594.9995,4
98,1.85,-23.29,67.76,115558.8026,316915.3252,106512.404,11
99,-29.19,12.7,-17.19,808884.0589,601118.0964,28078.55203,5
100,42.45,49.81,-5.01,510819.2883,113667.1084,-196288.8911,7
101,-26.25,-73.57,40.43,903272.037,-22806.66764,40948.56959,14
102,44,1.6,49.08,-601393.5158,-339867.2576,-250902.3308,9
103,-56.66,-28.38,36.42,-285266.5128,122328.6094,384049.1028,9
104,-56.95,-48.18,8.7,-365537.9756,-986493.6441,708088.9572,12
105,55.25,5.5,5.25,-605570.8181,-65767.41075,-76024.97793,10
106,-40.18,-12.77,12.41,-482179.2664,440664.9898,-388732.027,12
107,-28.12,-37.32,-11.88,1276494.86,-263515.0833,-588025.6864,4
108,0.66,-14.53,51.09,141850.9897,80359.57141,222485.1177,11
109,28,44.18,-14.18,-643715.2869,345802.2895,-268170.7031,7
110,-30.87,38.64,33.27,-122123.3946,-21168.28021,744250.5295,5
111,30.17,18.17,52.04,187286.5322,-42349.66148,19081.68403,7
112,60.88,-30.63,25.75,325778.6757,141640.9856,-201167.2601,10
113,-44.89,-0.12,-14.83,-599509.29,-102660.7879,-301809.2742,12
114,-26,-92.41,11.49,244850.1576,138918.1872,-156392.041,15
115,29.24,-67.33,46.71,-216564.7172,-197091.1107,462490.0038,14
116,-9.46,47.2,39.53,1420462.357,252242.7631,-487798.6388,2
117,23.85,-12.88,67.12,-617311.2358,331286.6545,-236333.8453,11
118,14.82,14.69,6.75,133774.5903,31890.21881,374979.519,6
119,-14.85,-65.74,55.41,1229880.193,-276970.6139,-429607.1227,14
120,40.24,-10.52,-4.68,-645540.3918,432279.7999,-268080.3058,12
121,21.65,-68.96,-11.87,422301.9342,-529841.7881,-557144.9923,15
122,10.21,63.16,9.68,817745.3596,-230202.3426,350935.7891,2
123,54.5,-2.8,-26.2,578415.0146,177228.7135,-309603.2925,3
124,-49.85,23.54,8.77,249481.4774,155280.2707,-102024.4338,8
125,17.15,-89.05,21.65,-326879.2708,-359464.2904,-64987.042,16
126,52.94,-61.12,0.97,-520739.6028,333312.4897,-139882.5909,13
127,51.36,28.85,4.59,-996612.6107,-141898.7798,61903.69384,5
128,-31.95,-20.69,-18.83,-158667.7945,-142922.1469,764402.8437,4
129,-56.93,-10.21,4.82,225578.9389,161467.0916,-62887.92276,12
130,-8.23,-74.53,40.45,1333515.861,344604.0406,-360182.4914,1
131,1.16,-4.05,4.53,-648327.8788,376449.451,-156337.2798,6
132,-0.26,31.6,44.84,-408519.1183,-948725.6203,688065.4252,8
133,-46.81,-71.48,11.57,173120.6255,127695.4659,-80873.94924,13
134,-44.78,27.17,25.76,-91417.41889,556769.7985,376335.3486,8
135,57.89,-7.12,-8.53,1012725.61,-1287250.368,183695.9173,12
136,-51.75,-13.68,39.85,-147428.7519,-99700.11013,806387.0578,11
137,21,-11.56,-16.78,-543032.9197,208037.9524,-114356.9341,4
138,-34.55,-53.05,49.17,-679247.5931,283512.2603,-264388.8252,14
139,53.45,-11.15,38.81,863427.6269,563732.5657,-23272.9898,11
140,-21.5,-91.46,-12.71,-683170.9304,-124590.6097,-322284.8713,15
141,-36.43,-77.53,-15.4,-1051580.483,167398.6266,63280.53307,15
142,-0.41,21.04,-8.64,1314126.721,388526.8199,-325401.7305,4
143,10.43,1.66,65.84,-504790.9321,263892.1486,-98323.71174,11
144,9.86,-63.04,55.79,407301.3164,99496.75935,-211564.0085,14
145,51.47,21.25,20.57,-185320.6559,327956.437,284732.1918,9
146,-54.16,7.63,17.26,-588393.2328,199054.512,184743.743,9
147,44.83,-64.45,38.91,-515431.1906,-1441806.106,-542629.28,1
148,-26.05,52.45,22.7,-775821.1294,368733.9042,-382325.9602,5
149,32.47,44.8,27.44,-394993.497,-504501.0908,851821.2934,5
150,-41.06,49.43,-3.62,745166.8501,480101.939,274787.4429,8
151,32.68,-77.53,30.34,-786931.9747,391167.9329,-202042.8637,13
152,-43.45,-37.29,48.05,-121018.7415,13360.63716,234796.0255,9
153,27.82,-48.95,-13.61,-78270.32336,222991.4949,-101958.218,16
154,-8.72,20,60,563441.789,465995.4509,214496.4907,8
155,-1.24,-54.49,38.35,727014.0873,-120048.38,-366038.4911,1
156,30.17,-87.11,-11.16,1434599.887,7545.240347,-400328.1947,15
157,-14.79,-74.07,-10.59,-627866.7933,329481.6001,-249671.8415,16
158,26.41,1.47,-0.41,365481.0335,287029.0445,-29812.81525,10
159,-13.91,-52.47,-1.15,-849776.4107,397268.7008,-392870.5886,16
160,55.54,-28.76,43.37,4776.94227,132713.4457,121271.3123,9
161,45.09,13.89,-23.93,-528741.155,-1385956.7,-673495.9257,3
162,-8.2,0.85,65.78,136726.0542,150975.5515,-68322.15417,11
163,-27.69,57.69,4.46,-17004.68993,38674.75523,317518.1203,7
164,-47.23,5.41,2.14,-522635.756,295068.074,-91737.58997,10
165,43.76,-24.49,15.59,859917.3848,-1298727.202,131424.1051,12
166,12.05,43.28,45.44,-568309.1785,244654.9559,193155.4771,2
167,13.22,21.65,59.11,583289.0598,-156213.8605,-295340.0306,5
168,-18.96,-52.15,64.79,-499770.6995,-1433324.949,-569303.1653,14
169,-27.56,-57.52,-13.72,53440.40499,183337.8062,326407.8207,16
170,-21.96,30.71,46.93,900188.9175,598358.7433,-44621.27484,2
171,14.61,56.78,28.83,888163.176,93579.13746,547952.3809,2
172,8.24,-86.35,-12.75,-139575.1757,-140808.0536,720801.3998,15
173,-46.67,14.4,-11.95,997509.8042,229338.4186,368080.1865,5
174,-4.29,-52.43,57.71,-657435.9279,395173.9857,-552503.0571,14
175,30.61,-0.73,-36.67,-445560.2222,210477.6913,163952.4069,3
176,-15.53,-29.77,-19.43,-135885.0355,-46236.06101,788050.5744,4
177,-43.09,-30.86,14.82,1165999.369,339628.8296,-210374.643,12
