label,Isomap,,,PACE
1.00,14254.74,-2263.32,15184.53,4.00
2.00,-3858.43,-12808.06,25501.54,16.00
3.00,-23529.72,2937.60,18017.49,12.00
4.00,-257.89,-17509.28,570.42,3.00
5.00,-7106.75,21510.40,414.38,16.00
6.00,-9418.42,3306.99,17270.49,4.00
7.00,-22909.91,15672.26,1734.66,4.00
8.00,-14596.79,30182.12,536.87,14.00
9.00,4433.05,12689.85,3178.94,12.00
10.00,3882.64,8033.52,14354.37,12.00
11.00,-4758.27,-17875.62,-19568.59,15.00
12.00,-5356.00,-14415.18,-8.46,13.00
13.00,-15537.39,-20823.49,10253.05,7.00
14.00,12937.65,-1866.24,17117.86,6.00
15.00,17675.97,7507.97,-2618.84,2.00
16.00,-24977.61,28079.11,4146.93,4.00
17.00,12825.74,-3937.94,7415.01,13.00
18.00,5398.44,12648.50,2452.92,5.00
19.00,-5105.26,-9006.51,13014.71,4.00
20.00,26482.51,12753.18,-12562.32,13.00
21.00,21725.95,13501.19,-19818.24,4.00
22.00,10514.66,3326.02,9323.24,4.00
23.00,24031.03,3362.68,-27250.43,6.00
24.00,-12622.56,30452.73,-2959.03,4.00
25.00,20055.59,731.47,21635.07,7.00
26.00,18397.26,16258.77,-4994.76,15.00
27.00,6695.43,-8478.41,-12082.45,3.00
28.00,23644.54,16934.48,-2640.90,14.00
29.00,4722.04,-5356.93,-16283.71,3.00
30.00,17212.81,1076.59,11368.20,16.00
31.00,9354.06,-13994.76,16209.92,15.00
32.00,2659.12,-27622.76,26955.75,14.00
33.00,14697.92,895.27,14133.14,3.00
34.00,-11455.55,-6638.85,-9468.13,2.00
35.00,5427.50,-19857.89,-509.69,4.00
36.00,8493.42,-10747.35,1487.99,3.00
37.00,21674.28,9764.13,-10880.79,2.00
38.00,-3632.53,-7345.51,14179.48,6.00
39.00,260.21,-13548.59,-1561.89,13.00
40.00,-41390.16,10702.02,-12877.61,12.00
41.00,-1252.62,-31845.52,700.66,13.00
42.00,-1293.52,-23912.53,-7948.14,3.00
43.00,24022.83,-2934.94,-20378.12,4.00
44.00,27511.70,6351.54,-17201.66,2.00
45.00,27320.73,20193.21,-18790.95,3.00
46.00,-13449.80,-23861.41,-11966.10,2.00
47.00,-23335.28,1221.28,23073.21,2.00
48.00,-3181.96,-12261.23,7323.93,15.00
49.00,23605.28,16886.39,-2630.06,13.00
50.00,-4585.04,-22544.86,-11568.78,14.00
51.00,16904.91,6914.26,17236.08,1.00
52.00,1067.17,-22880.82,-1221.79,2.00
53.00,23829.14,10175.76,-12921.55,3.00
54.00,-2317.85,-8146.48,3588.64,2.00
55.00,16479.27,10197.87,1313.05,3.00
56.00,-21288.23,27458.91,-26486.57,2.00
57.00,-13441.01,-4331.71,-14010.84,4.00
58.00,-22650.33,2803.95,19443.57,14.00
59.00,-39721.33,13052.08,-11186.24,3.00
60.00,5384.39,-15844.34,-2320.57,15.00
61.00,25091.22,3312.84,-27509.17,3.00
62.00,23813.05,10170.80,-12904.47,15.00
63.00,-17579.56,31838.39,8513.42,2.00
64.00,6210.60,-1162.97,18324.54,15.00
65.00,596.78,-12819.04,-42563.46,6.00
66.00,19551.06,891.31,17177.25,1.00
67.00,-18697.28,36958.41,-29947.08,10.00
68.00,15283.69,12729.13,8022.52,14.00
69.00,13412.38,-68.40,16759.56,11.00
70.00,14449.73,-655.28,15027.05,13.00
71.00,-23604.26,32706.91,1213.90,13.00
72.00,23163.70,4383.31,-10953.89,15.00
73.00,-40360.75,9879.91,-11110.30,13.00
74.00,-29654.72,-5221.31,-16540.39,16.00
75.00,7370.94,6139.47,9494.39,10.00
76.00,-3549.92,-12485.59,-40525.50,13.00
77.00,-27455.87,13281.44,-220.44,14.00
78.00,-11212.29,23187.13,-3405.59,15.00
79.00,-2814.00,-13341.29,-2268.60,10.00
80.00,12386.81,1033.97,6368.26,12.00
81.00,7856.46,-15377.62,10742.46,13.00
82.00,-41966.85,8178.69,-5576.76,15.00
83.00,-7115.46,-23649.56,-3144.89,9.00
84.00,18323.41,5523.54,15515.41,15.00
85.00,9831.55,7324.52,2970.74,14.00
86.00,3152.84,-8577.26,-953.48,10.00
87.00,-7743.94,-10770.28,2730.52,16.00
88.00,-9405.01,3323.25,17260.96,13.00
89.00,-31395.92,-3784.79,-12985.23,14.00
90.00,24491.45,18237.69,-11174.08,12.00
91.00,15284.24,12729.74,8019.79,10.00
92.00,3671.54,-13843.61,-3797.48,10.00
93.00,-23679.48,32689.12,1200.77,13.00
94.00,-9890.75,2965.55,16138.82,13.00
95.00,-15925.82,-21703.20,-11234.48,10.00
96.00,19861.09,715.13,18069.33,13.00
97.00,-37268.89,12427.81,-15757.06,15.00
98.00,23920.49,21146.80,-21966.54,7.00
99.00,-2460.72,-21523.06,-10992.74,11.00
100.00,-6712.88,-22565.88,-10336.02,12.00
101.00,-2379.09,-29232.00,-14.84,16.00
102.00,-8907.90,-2191.34,-8320.16,12.00
103.00,-9586.49,32614.78,1172.04,9.00
104.00,-26008.80,-16046.24,-340.58,2.00
105.00,26133.11,12779.51,-12953.52,7.00
106.00,-9187.23,-23784.95,-3856.64,7.00
107.00,-6547.04,1667.43,27713.55,8.00
108.00,-45867.23,13585.44,-1120.80,13.00
109.00,9804.79,440.44,3436.07,15.00
110.00,18821.63,17178.96,-7290.48,12.00
111.00,1704.41,-36.11,16753.20,14.00
112.00,-23046.37,1746.14,18176.99,12.00
113.00,-6795.41,-22444.45,-1729.28,10.00
114.00,5958.93,-13472.04,-38775.05,7.00
115.00,11471.56,2104.53,6198.35,10.00
116.00,-3969.88,-24500.36,-6490.51,7.00
117.00,27735.14,13649.40,-13388.19,8.00
118.00,-30694.23,-7343.51,-14481.62,11.00
119.00,-3332.77,-28572.57,-3446.66,12.00
120.00,-8614.28,5062.16,16714.08,16.00
121.00,-11224.09,-4750.18,-15801.24,8.00
122.00,851.47,2831.16,7297.18,8.00
123.00,-5724.39,18402.96,7336.54,11.00
124.00,-14761.48,5212.14,9865.28,16.00
125.00,-24562.83,27394.37,3862.47,12.00
126.00,-21235.39,33312.55,3342.67,8.00
127.00,153.35,-10167.28,13307.42,5.00
128.00,-8367.53,-7406.23,27887.10,6.00
129.00,7103.48,-13975.82,639.57,2.00
130.00,10727.71,7394.86,5421.12,9.00
131.00,-10660.98,-6086.32,-14618.47,16.00
132.00,19071.91,17827.99,-8607.66,7.00
133.00,-15602.85,3500.83,8900.04,6.00
134.00,4178.35,-8608.95,22433.19,11.00
135.00,-37866.88,-6504.20,-7790.96,6.00
136.00,24367.27,-2523.30,-19963.14,9.00
137.00,1362.62,-17594.38,22606.67,10.00
138.00,3589.32,-5824.21,-3564.09,8.00
139.00,19768.07,1530.45,8620.23,8.00
140.00,-8334.27,31176.42,1450.98,11.00
141.00,-5587.73,-14793.94,-1587.40,8.00
142.00,-3617.14,-27595.44,-16934.77,16.00
143.00,18418.23,5415.50,5198.13,3.00
144.00,5143.76,6541.15,13618.27,9.00
145.00,-7603.25,-2145.60,5175.24,9.00
146.00,14139.86,12052.65,8777.10,7.00
147.00,-4077.97,-10230.15,3988.19,16.00
148.00,-8995.26,20694.00,-1862.64,1.00
149.00,18851.01,5347.10,-4484.72,8.00
150.00,-6776.88,-6122.32,-5021.52,4.00
151.00,2317.16,-30283.47,9008.10,8.00
152.00,-893.75,-31208.33,1387.35,5.00
153.00,-21761.87,-21230.44,-8157.49,10.00
154.00,-6580.41,-11160.15,22028.29,7.00
155.00,-8851.18,23346.61,-4772.88,6.00
156.00,9983.93,1871.15,22398.47,10.00
157.00,18593.48,2359.05,6083.01,15.00
158.00,14195.81,3522.77,17896.36,4.00
159.00,-13706.18,30300.89,868.36,9.00
160.00,10850.66,-5937.35,21341.21,16.00
161.00,23054.71,-1278.59,-21305.87,5.00
162.00,7469.66,-10948.49,7638.88,10.00
163.00,800.93,21586.60,98.06,9.00
164.00,-1932.95,-32812.85,-820.22,8.00
165.00,-12724.52,-23442.57,-23696.83,5.00
166.00,-40373.24,13535.65,-10141.02,11.00
167.00,-3903.88,-16518.64,5628.75,3.00
168.00,-2676.06,-34443.19,1724.68,8.00
169.00,11694.30,2022.45,9074.35,12.00
170.00,23051.64,9914.49,-14942.01,7.00
171.00,16254.54,10403.67,-5906.20,8.00
172.00,-5147.52,-9486.21,13687.30,7.00
173.00,1236.90,-24925.28,-14993.65,2.00
174.00,-6856.52,-15107.82,1425.78,10.00
175.00,3168.78,-9437.07,-4328.08,11.00
