label,Isomap,,,PACE
176.00,16068.88,12313.82,11632.82,9.00
177.00,-845.17,-25400.08,-11280.84,5.00
178.00,25488.66,4293.08,-9605.83,11.00
179.00,-1571.38,6136.50,14567.29,9.00
180.00,-10527.36,-5552.88,-9639.66,1.00
181.00,18370.17,19309.03,-9107.32,1.00
182.00,6687.81,-7121.94,-2974.33,6.00
183.00,-45908.08,17915.98,4819.39,15.00
184.00,-20783.53,-23433.47,-10788.06,8.00
185.00,27202.85,-166.58,-8197.73,9.00
186.00,20226.61,15048.05,-8561.35,9.00
187.00,18617.78,2787.94,-7691.07,11.00
188.00,25574.46,12509.41,-13437.33,16.00
189.00,17027.06,373.42,12393.96,11.00
190.00,-12655.71,-21603.14,-17782.34,9.00
191.00,11462.58,-3195.95,28005.11,9.00
192.00,7250.13,10071.05,-3832.35,11.00
193.00,8666.41,1021.29,20405.99,1.00
194.00,-3642.28,-7408.69,-3063.06,11.00
195.00,-1695.54,21999.96,23.85,16.00
196.00,-24900.18,28960.21,4259.34,5.00
197.00,-10033.22,3216.68,16487.20,16.00
198.00,-2523.96,7801.37,11264.81,11.00
199.00,2783.49,-11513.05,-2814.62,2.00
200.00,3194.31,-5663.12,-5856.22,1.00
