label;group;place;rich_club;region_name;hemisphere
8;leftCerebellum;11;non-RichClub;Left-Cerebellum-Cortex;left
10;leftSubcortical;13;thalamus;Left-Thalamus-Proper;left
11;leftSubcortical;13;non-RichClub;Left-Caudate;left
12;leftSubcortical;3;putamen;Left-Putamen;left
13;leftSubcortical;11;non-RichClub;Left-Pallidum;left
16;brainstem;11;non-RichClub;Brain_Stem;left
17;leftSubcortical;14;hippocampus;Left-Hippocampus;left
18;leftSubcortical;14;non-RichClub;Left-Amygdala;left
26;leftSubcortical;3;non-RichClub;Left-Accumbens-area;left
28;leftSubcortical;11;non-RichClub;Left-VentralDC;left
47;rightCerebellum;11;non-RichClub;Right-Cerebellum-Cortex;right
49;rightSubcortical;12;thalamus;Right-Thalamus-Proper;right
50;rightSubcortical;12;non-RichClub;Right-Caudate;right
51;rightSubcortical;10;putamen;Right-Putamen;right
52;rightSubcortical;11;non-RichClub;Right-Pallidum;right
53;rightSubcortical;12;hippocampus;Right-Hippocampus;right
54;rightSubcortical;9;non-RichClub;Right-Amygdala;right
58;rightSubcortical;10;non-RichClub;Right-Accumbens-area;right
60;rightSubcortical;11;non-RichClub;Right-VentralDC;right
1001;leftTemporal;1;non-RichClub;ctx-lh-bankssts;left
1002;leftFrontal;16;non-RichClub;ctx-lh-caudalanteriorcingulate;left
1003;leftFrontal;13;non-RichClub;ctx-lh-caudalmiddlefrontal;left
1005;leftOccipital;2;non-RichClub;ctx-lh-cuneus;left
1006;leftTemporal;14;non-RichClub;ctx-lh-entorhinal;left
1007;leftTemporal;1;non-RichClub;ctx-lh-fusiform;left
1008;leftParietal;1;non-RichClub;ctx-lh-inferiorparietal;left
1009;leftTemporal;1;non-RichClub;ctx-lh-inferiortemporal;left
1010;leftOccipital;6;non-RichClub;ctx-lh-isthmuscingulate;left
1011;leftOccipital;1;non-RichClub;ctx-lh-lateraloccipital;left
1012;leftFrontal;4;non-RichClub;ctx-lh-lateralorbitofrontal;left
1013;leftOccipital;2;non-RichClub;ctx-lh-lingual;left
1014;leftFrontal;15;non-RichClub;ctx-lh-medialorbitofrontal;left
1015;leftTemporal;1;non-RichClub;ctx-lh-middletemporal;left
1016;leftTemporal;14;non-RichClub;ctx-lh-parahippocampal;left
1017;leftFrontal;5;non-RichClub;ctx-lh-paracentral;left
1018;leftFrontal;13;non-RichClub;ctx-lh-parsopercularis;left
1019;leftFrontal;4;non-RichClub;ctx-lh-parsorbitalis;left
1020;leftFrontal;4;non-RichClub;ctx-lh-parstriangularis;left
1021;leftOccipital;2;non-RichClub;ctx-lh-pericalcarine;left
1022;leftParietal;3;non-RichClub;ctx-lh-postcentral;left
1023;leftParietal;6;non-RichClub;ctx-lh-posteriorcingulate;left
1024;leftFrontal;13;non-RichClub;ctx-lh-precentral;left
1025;leftParietal;6;precuneus;ctx-lh-precuneus;left
1026;leftFrontal;16;non-RichClub;ctx-lh-rostralanteriorcingulate;left
1027;leftFrontal;13;non-RichClub;ctx-lh-rostralmiddlefrontal;left
1028;leftFrontal;16;Superior frontal Cortex;ctx-lh-superiorfrontal;left
1029;leftParietal;1;superiorParietal;ctx-lh-superiorparietal;left
1030;leftTemporal;4;non-RichClub;ctx-lh-superiortemporal;left
1031;leftParietal;3;non-RichClub;ctx-lh-supramarginal;left
1032;leftFrontal;15;non-RichClub;ctx-lh-frontalpole;left
1033;leftTemporal;3;non-RichClub;ctx-lh-temporalpole;left
1034;leftTemporal;4;non-RichClub;ctx-lh-transversetemporal;left
1035;leftSubcortical;4;non-RichClub;ctx-lh-insula;left
2001;rightTemporal;7;non-RichClub;ctx-rh-bankssts;right
2002;rightFrontal;16;non-RichClub;ctx-rh-caudalanteriorcingulate;right
2003;rightFrontal;16;non-RichClub;ctx-rh-caudalmiddlefrontal;right
2005;rightOccipital;8;non-RichClub;ctx-rh-cuneus;right
2006;rightTemporal;9;non-RichClub;ctx-rh-entorhinal;right
2007;rightTemporal;7;non-RichClub;ctx-rh-fusiform;right
2008;rightParietal;7;non-RichClub;ctx-rh-inferiorparietal;right
2009;rightTemporal;7;non-RichClub;ctx-rh-inferiortemporal;right
2010;rightOccipital;6;non-RichClub;ctx-rh-isthmuscingulate;right
2011;rightOccipital;7;non-RichClub;ctx-rh-lateraloccipital;right
2012;rightFrontal;10;non-RichClub;ctx-rh-lateralorbitofrontal;right
2013;rightOccipital;8;non-RichClub;ctx-rh-lingual;right
2014;rightFrontal;15;non-RichClub;ctx-rh-medialorbitofrontal;right
2015;rightTemporal;7;non-RichClub;ctx-rh-middletemporal;right
2016;rightTemporal;12;non-RichClub;ctx-rh-parahippocampal;right
2017;rightFrontal;5;non-RichClub;ctx-rh-paracentral;right
2018;rightFrontal;12;non-RichClub;ctx-rh-parsopercularis;right
2019;rightFrontal;10;non-RichClub;ctx-rh-parsorbitalis;right
2020;rightFrontal;10;non-RichClub;ctx-rh-parstriangularis;right
2021;rightOccipital;8;non-RichClub;ctx-rh-pericalcarine;right
2022;rightParietal;12;non-RichClub;ctx-rh-postcentral;right
2023;rightParietal;5;non-RichClub;ctx-rh-posteriorcingulate;right
2024;rightFrontal;12;non-RichClub;ctx-rh-precentral;right
2025;rightParietal;6;precuneus;ctx-rh-precuneus;right
2026;rightFrontal;16;non-RichClub;ctx-rh-rostralanteriorcingulate;right
2027;rightFrontal;16;non-RichClub;ctx-rh-rostralmiddlefrontal;right
2028;rightFrontal;16;Superior frontal Cortex;ctx-rh-superiorfrontal;right
2029;rightParietal;7;superiorParietal;ctx-rh-superiorparietal;right
2030;rightTemporal;7;non-RichClub;ctx-rh-superiortemporal;right
2031;rightParietal;7;non-RichClub;ctx-rh-supramarginal;right
2032;rightFrontal;15;non-RichClub;ctx-rh-frontalpole;right
2033;rightTemporal;9;non-RichClub;ctx-rh-temporalpole;right
2034;rightTemporal;7;non-RichClub;ctx-rh-transversetemporal;right
2035;rightSubcortical;10;non-RichClub;ctx-rh-insula;right
