label;group;place;rich_club;region_name;hemisphere;group_old
2;leftSubcorticalWhiteMatter;-1;non-RichClub;Left-Cerebral-White-Matter;left;SubcorticalWhiteMatter
7;leftCerebellumWhiteMatter;-1;non-RichClub;Left-Cerebellum-White-Matter;left;CerebellumWhiteMatter
8;leftCerebellum;11;non-RichClub;Left-Cerebellum-Cortex;left;Cerebellum
10;leftSubcortical;13;thalamus;Left-Thalamus-Proper;left;Subcortical
11;leftSubcortical;13;non-RichClub;Left-Caudate;left;Subcortical
12;leftSubcortical;3;putamen;Left-Putamen;left;Subcortical
13;leftSubcortical;11;non-RichClub;Left-Pallidum;left;Subcortical
16;brainstem;11;non-RichClub;Brain-Stem;left;brainstem
17;leftSubcortical;14;hippocampus;Left-Hippocampus;left;Subcortical
18;leftSubcortical;14;non-RichClub;Left-Amygdala;left;Subcortical
26;leftSubcortical;3;non-RichClub;Left-Accumbens-area;left;Subcortical
28;leftSubcortical;11;non-RichClub;Left-VentralDC;left;Subcortical
41;rightSubcorticalWhiteMatter;-1;non-RichClub;Right-Cerebral-White-Matter;right;Subcortical
47;rightCerebellum;11;non-RichClub;Right-Cerebellum-Cortex;right;Cerebellum
49;rightSubcortical;12;thalamus;Right-Thalamus-Proper;right;Subcortical
50;rightSubcortical;12;non-RichClub;Right-Caudate;right;Subcortical
51;rightSubcortical;10;putamen;Right-Putamen;right;Subcortical
52;rightSubcortical;11;non-RichClub;Right-Pallidum;right;Subcortical
53;rightSubcortical;12;hippocampus;Right-Hippocampus;right;Subcortical
54;rightSubcortical;9;non-RichClub;Right-Amygdala;right;Subcortical
58;rightSubcortical;10;non-RichClub;Right-Accumbens-area;right;Subcortical
60;rightSubcortical;11;non-RichClub;Right-VentralDC;right;Subcortical
252;middleCerebralCortex;-1;non-RichClub;CC_Mid_Posterior;middle;Subcortical
1001;leftTemporal;1;non-RichClub;ctx-lh-bankssts;left;Temporal
1002;leftFrontal;16;non-RichClub;ctx-lh-caudalanteriorcingulate;left;Frontal
1003;leftFrontal;13;non-RichClub;ctx-lh-caudalmiddlefrontal;left;Frontal
1005;leftOccipital;2;non-RichClub;ctx-lh-cuneus;left;Occipital
1006;leftTemporal;14;non-RichClub;ctx-lh-entorhinal;left;Temporal
1007;leftTemporal;1;non-RichClub;ctx-lh-fusiform;left;Temporal
1008;leftParietal;1;non-RichClub;ctx-lh-inferiorparietal;left;Parietal
1009;leftTemporal;1;non-RichClub;ctx-lh-inferiortemporal;left;Temporal
1010;leftOccipital;6;non-RichClub;ctx-lh-isthmuscingulate;left;Occipital
1011;leftOccipital;1;non-RichClub;ctx-lh-lateraloccipital;left;Occipital
1012;leftFrontal;4;non-RichClub;ctx-lh-lateralorbitofrontal;left;Frontal
1013;leftOccipital;2;non-RichClub;ctx-lh-lingual;left;Occipital
1014;leftFrontal;15;non-RichClub;ctx-lh-medialorbitofrontal;left;Frontal
1015;leftTemporal;1;non-RichClub;ctx-lh-middletemporal;left;Temporal
1016;leftTemporal;14;non-RichClub;ctx-lh-parahippocampal;left;Temporal
1017;leftFrontal;5;non-RichClub;ctx-lh-paracentral;left;Frontal
1018;leftFrontal;13;non-RichClub;ctx-lh-parsopercularis;left;Frontal
1019;leftFrontal;4;non-RichClub;ctx-lh-parsorbitalis;left;Frontal
1020;leftFrontal;4;non-RichClub;ctx-lh-parstriangularis;left;Frontal
1021;leftOccipital;2;non-RichClub;ctx-lh-pericalcarine;left;Occipital
1022;leftParietal;3;non-RichClub;ctx-lh-postcentral;left;Parietal
1023;leftParietal;6;non-RichClub;ctx-lh-posteriorcingulate;left;Parietal
1024;leftFrontal;13;non-RichClub;ctx-lh-precentral;left;Frontal
1025;leftParietal;6;precuneus;ctx-lh-precuneus;left;Parietal
1026;leftFrontal;16;non-RichClub;ctx-lh-rostralanteriorcingulate;left;Frontal
1027;leftFrontal;13;non-RichClub;ctx-lh-rostralmiddlefrontal;left;Frontal
1028;leftFrontal;16;Superior frontal Cortex;ctx-lh-superiorfrontal;left;Frontal
1029;leftParietal;1;superiorParietal;ctx-lh-superiorparietal;left;Parietal
1030;leftTemporal;4;non-RichClub;ctx-lh-superiortemporal;left;Temporal
1031;leftParietal;3;non-RichClub;ctx-lh-supramarginal;left;Parietal
1032;leftFrontal;15;non-RichClub;ctx-lh-frontalpole;left;Frontal
1033;leftTemporal;3;non-RichClub;ctx-lh-temporalpole;left;Temporal
1034;leftTemporal;4;non-RichClub;ctx-lh-transversetemporal;left;Temporal
1035;leftSubcortical;4;non-RichClub;ctx-lh-insula;left;Subcortical
2001;rightTemporal;7;non-RichClub;ctx-rh-bankssts;right;Temporal
2002;rightFrontal;16;non-RichClub;ctx-rh-caudalanteriorcingulate;right;Frontal
2003;rightFrontal;16;non-RichClub;ctx-rh-caudalmiddlefrontal;right;Frontal
2005;rightOccipital;8;non-RichClub;ctx-rh-cuneus;right;Occipital
2006;rightTemporal;9;non-RichClub;ctx-rh-entorhinal;right;Temporal
