label;Anatomy;Embeddness;RichClub;region_name;hemisphere
1024;leftFrontal;non-RichClub;non-RichClub;ctx-lh-precentral;left
1025;leftParietal;non-RichClub;precuneus;ctx-lh-precuneus;left
1026;leftFrontal;non-RichClub;non-RichClub;ctx-lh-rostralanteriorcingulate;left
1027;leftFrontal;non-RichClub;non-RichClub;ctx-lh-rostralmiddlefrontal;left
1028;leftFrontal;Superior frontal Cortex;Superior frontal Cortex;ctx-lh-superiorfrontal;left
1029;leftParietal;superiorParietal;superiorParietal;ctx-lh-superiorparietal;left
1030;leftTemporal;non-RichClub;non-RichClub;ctx-lh-superiortemporal;left
1031;leftParietal;non-RichClub;non-RichClub;ctx-lh-supramarginal;left
1032;leftFrontal;non-RichClub;non-RichClub;ctx-lh-frontalpole;left
1033;leftTemporal;non-RichClub;non-RichClub;ctx-lh-temporalpole;left
1034;leftTemporal;non-RichClub;non-RichClub;ctx-lh-transversetemporal;left
1035;leftSubcortical;non-RichClub;non-RichClub;ctx-lh-insula;left
2001;rightTemporal;non-RichClub;non-RichClub;ctx-rh-bankssts;right
2002;rightFrontal;Cingulate;non-RichClub;ctx-rh-caudalanteriorcingulate;right
2003;rightFrontal;non-RichClub;non-RichClub;ctx-rh-caudalmiddlefrontal;right
2005;rightOccipital;non-RichClub;non-RichClub;ctx-rh-cuneus;right
2006;rightTemporal;non-RichClub;non-RichClub;ctx-rh-entorhinal;right
2007;rightTemporal;non-RichClub;non-RichClub;ctx-rh-fusiform;right
2008;rightParietal;non-RichClub;non-RichClub;ctx-rh-inferiorparietal;right
2009;rightTemporal;non-RichClub;non-RichClub;ctx-rh-inferiortemporal;right
2010;rightOccipital;Cingulate;non-RichClub;ctx-rh-isthmuscingulate;right
2011;rightOccipital;non-RichClub;non-RichClub;ctx-rh-lateraloccipital;right
2012;rightFrontal;non-RichClub;non-RichClub;ctx-rh-lateralorbitofrontal;right
2013;rightOccipital;non-RichClub;non-RichClub;ctx-rh-lingual;right
2014;rightFrontal;non-RichClub;non-RichClub;ctx-rh-medialorbitofrontal;right
2015;rightTemporal;non-RichClub;non-RichClub;ctx-rh-middletemporal;right
2016;rightTemporal;non-RichClub;non-RichClub;ctx-rh-parahippocampal;right
2017;rightFrontal;Paracentral;non-RichClub;ctx-rh-paracentral;right
2018;rightFrontal;non-RichClub;non-RichClub;ctx-rh-parsopercularis;right
2019;rightFrontal;non-RichClub;non-RichClub;ctx-rh-parsorbitalis;right
2020;rightFrontal;non-RichClub;non-RichClub;ctx-rh-parstriangularis;right
2021;rightOccipital;non-RichClub;non-RichClub;ctx-rh-pericalcarine;right
2022;rightParietal;non-RichClub;non-RichClub;ctx-rh-postcentral;right
2023;rightParietal;Cingulate;non-RichClub;ctx-rh-posteriorcingulate;right
2024;rightFrontal;non-RichClub;non-RichClub;ctx-rh-precentral;right
2025;rightParietal;precuneus;precuneus;ctx-rh-precuneus;right
2026;rightFrontal;non-RichClub;non-RichClub;ctx-rh-rostralanteriorcingulate;right
2027;rightFrontal;non-RichClub;non-RichClub;ctx-rh-rostralmiddlefrontal;right
2028;rightFrontal;Superior frontal Cortex;Superior frontal Cortex;ctx-rh-superiorfrontal;right
2029;rightParietal;superiorParietal;superiorParietal;ctx-rh-superiorparietal;right
2030;rightTemporal;non-RichClub;non-RichClub;ctx-rh-superiortemporal;right
2031;rightParietal;non-RichClub;non-RichClub;ctx-rh-supramarginal;right
2032;rightFrontal;non-RichClub;non-RichClub;ctx-rh-frontalpole;right
2033;rightTemporal;non-RichClub;non-RichClub;ctx-rh-temporalpole;right
2034;rightTemporal;non-RichClub;non-RichClub;ctx-rh-transversetemporal;right
2035;rightSubcortical;non-RichClub;non-RichClub;ctx-rh-insula;right
