label;Anatomy;region_name;hemisphere
1676;Right;MNI(9:69:0);right
1677;Left;MNI(-20:9:1);left
1678;Right;MNI(52:0:40);right
1679;Left;MNI(-46:-31:27);left
1680;Left;MNI(-14:7:22);left
1681;Left;MNI(-6:-52:26);left
1682;Right;MNI(50:-28:-17);right
1683;Right;MNI(22:-51:-15);right
1684;Right;MNI(15:-86:33);right
1685;Right;MNI(24:-30:73);right
1686;Right;MNI(54:-33:42);right
1687;Left;MNI(-50:19:35);left
1688;Left;MNI(-4:57:29);left
1689;Right;MNI(58:-46:26);right
1690;Right;MNI(5:6:-8);right
1691;Left;MNI(-8:-90:-8);left
1692;Left;MNI(-37:-44:45);left
1693;Right;MNI(60:10:8);right
1694;Right;MNI(16:-39:49);right
1695;Left;MNI(-28:-39:-41);left
1696;Right;MNI(32:26:49);right
1697;Left;MNI(-54:-18:51);left
1698;Right;MNI(11:-65:-25);right
1699;Left;MNI(-24:0:-42);left
1700;Left;MNI(-2:-87:21);left
1701;Left;MNI(-6:24:38);left
1702;Left;MNI(0:69:3);left
1703;Left;MNI(-17:21:57);left
1704;Right;MNI(37:-10:-21);right
1705;Right;MNI(23:-63:52);right
1706;Left;MNI(-4:27:-8);left
1707;Right;MNI(3:46:39);right
1708;Left;MNI(-25:63:-9);left
1709;Left;MNI(-53:-6:3);left
1710;Right;MNI(42:18:39);right
1711;Right;MNI(13:63:5);right
1712;Left;MNI(-26:-81:-26);left
1713;Right;MNI(57:-63:33);right
1714;Left;MNI(-4:-41:73);left
1715;Right;MNI(2:-3:5);right
1716;Right;MNI(37:16:3);right
1717;Right;MNI(60:-39:15);right
1718;Left;MNI(-21:-1:-20);left
1719;Right;MNI(45:45:-3);right
1720;Left;MNI(-12:-84:34);left
1721;Left;MNI(-38:28:11);left
1722;Left;MNI(-8:1:67);left
1723;Right;MNI(44:-5:12);right
1724;Right;MNI(27:46:45);right
1725;Right;MNI(46:-3:-36);right
1726;Right;MNI(10:-30:69);right
1727;Right;MNI(55:-18:42);right
1728;Right;MNI(15:-44:-40);right
1729;Left;MNI(-37:-66:-28);left
1730;Left;MNI(-40:12:44);left
1731;Right;MNI(38:23:13);right
1732;Right;MNI(39:-38:44);right
1733;Right;MNI(3:-63:58);right
1734;Left;MNI(-10:45:45);left
1735;Left;MNI(-1:37:-23);left
1736;Left;MNI(-28:-89:-2);left
1737;Right;MNI(30:48:-14);right
1738;Right;MNI(20:-65:35);right
1739;Left;MNI(-43:50:-7);left
1740;Left;MNI(-51:-28:51);left
1741;Left;MNI(-4:54:-14);left
1742;Right;MNI(49:-28:60);right
1743;Right;MNI(58:-21:10);right
1744;Right;MNI(37:49:19);right
